model,year,price,type,distance,fuel,tax,miles per galoon,size
0,2019.0,21998.0,2,11578.0,2,150.0,53.3,1.3
0,2014.0,10498.0,1,63177.0,0,30.0,64.2,2.1
0,2016.0,12498.0,1,54544.0,0,20.0,72.4,1.5
0,2018.0,17498.0,1,8601.0,2,145.0,51.4,1.6
0,2017.0,16798.0,1,24388.0,0,20.0,68.9,1.5
0,2017.0,15498.0,1,35295.0,0,20.0,68.9,1.5
0,2019.0,18241.0,0,15722.0,0,145.0,65.7,1.5
0,2018.0,17498.0,2,15597.0,0,145.0,68.9,2.1
0,2013.0,11998.0,1,13680.0,2,125.0,51.4,1.6
0,2020.0,28128.0,0,2563.0,2,145.0,47.9,1.3
0,2017.0,17498.0,2,16244.0,0,145.0,74.3,1.5
0,2018.0,22990.0,2,5491.0,2,145.0,45.6,2.0
0,2017.0,16995.0,2,25800.0,0,150.0,68.9,2.1
0,2019.0,21998.0,2,19324.0,2,150.0,53.3,1.3
0,2019.0,18141.0,0,15689.0,0,145.0,65.7,1.5
0,2019.0,18995.0,2,21400.0,2,145.0,53.3,1.3
0,2016.0,13900.0,1,16349.0,0,20.0,72.4,1.5
0,2019.0,23184.0,1,1173.0,2,145.0,44.8,1.3
0,2019.0,25190.0,0,2471.0,0,145.0,56.5,2.0
0,2018.0,18998.0,2,12386.0,0,145.0,68.9,1.5
0,2016.0,15200.0,2,39057.0,0,20.0,74.3,1.5
0,2018.0,19995.0,2,2348.0,2,145.0,53.3,1.3
0,2009.88029543607,2880.0,0,66000.0,0,160.0,52.3,2.0
0,2019.0,20998.0,2,9651.0,0,145.0,56.5,2.0
0,2016.0,21998.0,2,17171.0,2,165.0,45.6,2.0
0,2017.0,18298.0,2,7919.0,0,145.0,68.9,2.1
0,2017.0,15787.0,0,24092.0,0,20.0,70.6,2.1
0,2013.0,9995.0,2,47000.0,0,20.0,68.9,1.8
0,2019.0,18995.0,2,3150.0,0,145.0,65.7,1.5
0,2014.0,13998.0,2,29670.0,0,20.0,68.9,2.1
0,2015.0,18998.0,2,23247.0,2,200.0,42.8,2.0
0,2020.0,24107.0,0,3500.0,0,145.0,62.8,1.5
0,2019.0,22998.0,2,3770.0,2,150.0,53.3,1.3
0,2019.0,22596.0,0,5382.0,0,145.0,62.8,1.5
0,2016.0,15200.0,2,23286.0,0,20.0,68.9,2.1
0,2016.0,15000.0,1,30761.0,0,30.0,62.8,2.1
0,2019.0,21498.0,2,4138.0,0,145.0,65.7,1.5
0,2018.0,20450.0,0,6511.0,0,150.0,65.7,1.5
0,2011.0,3440.0,1,74000.0,0,150.0,54.3,2.0
0,2017.0,18890.0,0,7875.0,2,150.0,53.3,1.6
0,2013.0,11998.0,2,54060.0,0,30.0,64.2,2.1
0,2015.0,16998.0,2,39587.0,2,200.0,42.8,2.0
0,2019.0,25701.0,0,11000.0,0,150.0,56.5,2.0
0,2019.0,22730.0,0,1521.0,0,145.0,56.5,2.0
0,2014.0,11980.0,0,66690.0,0,20.0,64.2,2.1
0,2018.0,21998.0,2,15450.0,2,150.0,53.3,1.3
0,2016.0,15498.0,2,63454.0,0,20.0,74.3,1.5
0,2016.0,16998.0,2,29160.0,0,20.0,67.3,2.1
0,2018.0,23498.0,2,5189.0,2,150.0,53.3,1.3
0,2019.0,18118.0,0,15561.0,0,145.0,68.9,1.5
0,2017.0,15245.0,1,22969.0,0,145.0,68.9,1.5
0,2019.0,21498.0,2,6324.0,0,145.0,65.7,1.5
0,2013.0,9995.0,1,83000.0,0,20.0,70.6,1.5
0,2019.0,17990.0,0,14783.0,0,145.0,65.7,1.5
0,2016.0,27995.0,0,13000.0,2,200.0,40.9,2.0
0,2016.0,14998.0,1,24569.0,0,20.0,68.9,1.5
0,2019.0,21498.0,2,5685.0,0,145.0,65.7,1.5
0,2017.0,15498.0,1,47412.0,0,20.0,68.9,1.5
0,2020.0,32980.0,0,606.0,2,145.0,35.8,2.0
0,2018.0,18220.0,0,10361.0,0,145.0,68.9,1.5
0,2020.0,26980.0,0,1000.0,0,145.0,62.8,1.5
0,2019.0,19498.0,2,14899.0,0,145.0,68.9,1.5
0,2018.0,18888.0,0,11565.0,0,145.0,67.3,1.5
0,2018.0,19998.0,2,6340.0,2,145.0,53.3,1.3
1,2019.0,20700.0,0,14931.0,2,145.0,45.6,1.3
1,2013.0,9998.0,2,34837.0,0,30.0,64.2,1.8
1,2016.0,13498.0,1,25726.0,0,20.0,68.9,1.5
1,2017.0,17513.0,0,14128.0,0,150.0,68.9,2.1
1,2019.0,20882.0,0,14257.0,2,145.0,45.6,1.3
1,2017.0,15998.0,2,21306.0,0,145.0,68.9,2.1
1,2017.0,12498.0,1,29559.0,0,20.0,68.9,1.5
1,2010.0,3890.0,0,71000.0,2,240.0,40.9,1.5
1,2015.0,11995.0,2,41500.0,0,20.0,67.3,1.5
1,2013.0,8998.0,2,46108.0,0,30.0,64.2,1.8
1,2019.0,20945.0,0,13661.0,2,145.0,45.6,1.3
1,2011.0,3990.0,0,85026.14414204747,2,240.0,40.9,1.5
1,2017.0,13498.0,1,35881.0,0,20.0,68.9,1.5
1,2019.0,24616.0,0,3710.0,0,145.0,55.4,2.0
1,2019.0,21394.0,0,9573.0,2,145.0,45.6,1.3
1,2019.0,23280.0,0,6441.0,2,145.0,44.1,1.3
1,2017.0,15480.0,0,23290.0,0,20.0,68.9,2.1
1,2019.0,20998.0,2,10713.0,2,145.0,45.6,1.3
1,2015.0,13498.0,2,20789.0,0,20.0,67.3,1.5
1,2019.0,21498.0,1,4653.0,2,145.0,45.6,1.3
1,2017.0,15890.0,0,24841.0,0,150.0,68.9,1.5
1,2014.0,9998.0,1,24510.0,0,30.0,61.4,1.5
1,2019.0,23750.0,0,278.0,0,145.0,55.4,2.0
2,2009.88029543607,4480.0,0,85026.14414204747,0,300.0,37.7,3.0
2,2019.0,24498.0,2,12629.0,0,145.0,61.4,2.1
2,2015.0,12495.0,0,55000.0,0,30.0,64.2,2.1
2,2017.0,18498.0,2,26179.0,0,145.0,60.1,2.1
2,2017.0,21000.0,0,25000.0,1,140.0,97.62807002109429,2.0
2,2019.0,27698.0,2,14999.0,0,145.0,55.4,2.0
2,2014.0,11290.0,0,48000.0,0,145.0,56.5,2.1
2,2016.0,27498.0,2,37941.0,2,260.0,35.8,3.0
2,2016.0,16998.0,2,43014.0,0,30.0,64.2,2.1
2,2019.0,32498.0,2,11301.0,0,145.0,61.4,2.0
2,2019.0,33998.0,2,1558.0,2,145.0,44.1,1.5
2,2019.0,32998.0,2,2258.0,2,145.0,46.3,1.5
2,2017.0,25798.0,2,9676.0,0,145.0,65.7,2.1
2,2019.0,30498.0,2,4977.0,0,145.0,57.7,2.0
2,2019.0,24998.0,2,22400.0,2,145.0,44.1,1.5
2,2019.0,30403.0,0,3000.0,2,145.0,46.3,1.5
2,2016.0,16998.0,2,26973.0,0,30.0,65.7,1.6
2,2017.0,17998.0,2,59858.0,0,145.0,64.2,2.1
2,2018.0,19998.0,2,15383.0,2,145.0,46.3,1.5
2,2015.0,16998.0,2,43883.0,0,125.0,60.1,2.1
2,2020.0,31790.0,0,3500.0,2,145.0,64.2,2.0
2,2018.0,22998.0,2,18739.0,0,150.0,60.1,2.1
2,2018.0,20489.0,2,16900.0,0,145.0,61.4,2.1
2,2017.0,19743.0,0,16509.0,0,145.0,61.4,2.1
2,2019.0,26154.0,0,14696.0,0,145.0,56.5,2.0
2,2016.0,15498.0,2,73582.0,0,30.0,61.4,2.1
2,2019.0,22498.0,2,10455.0,2,145.0,46.3,1.5
2,2019.0,24495.0,2,10000.0,0,145.0,61.4,2.0
2,2017.0,15700.0,0,19023.0,0,145.0,65.7,2.1
2,2017.0,19890.0,0,26878.0,2,150.0,48.7,2.0
2,2015.0,17498.0,2,42471.0,1,0.0,76.4,2.1
2,2014.0,15701.0,0,20498.0,0,20.0,64.2,2.1
2,2017.0,22498.0,2,20491.0,1,135.0,74.3,2.1
2,2016.0,19328.0,0,25042.0,0,30.0,64.2,2.1
2,2019.0,33998.0,2,3814.0,2,145.0,44.1,1.5
2,2014.0,15498.0,2,23772.0,0,20.0,64.2,2.1
2,2019.0,24915.0,0,13101.0,0,145.0,61.4,2.0
2,2016.0,12998.0,1,53453.0,0,20.0,70.6,2.1
2,2013.0,11998.0,2,31706.0,0,145.0,53.3,2.1
2,2019.0,24055.0,0,7475.0,0,145.0,61.4,2.0
2,2019.0,24998.0,2,9344.0,0,145.0,55.4,2.0
2,2014.0,15498.0,2,36243.0,0,30.0,64.2,2.1
2,2016.0,16198.0,1,41974.0,0,20.0,68.9,2.1
2,2019.0,26601.0,0,9949.0,0,150.0,64.2,2.0
2,2019.0,32998.0,2,2878.0,2,145.0,42.2,2.0
2,2015.0,11998.0,1,52792.0,0,20.0,72.4,1.6
2,2020.0,30960.0,0,3000.0,0,145.0,64.2,2.0
2,2017.0,23998.0,2,14462.0,0,20.0,67.3,2.1
2,2019.0,29546.0,0,7990.0,0,145.0,54.3,2.0
2,2019.0,29623.0,0,7500.0,0,145.0,64.2,2.0
2,2019.0,32998.0,2,17.0,2,145.0,46.3,1.5
2,2018.0,18051.0,0,11319.0,0,145.0,65.7,1.6
2,2014.0,15998.0,2,26216.0,0,30.0,64.2,2.1
2,2015.0,13998.0,1,24010.0,0,20.0,72.4,1.6
2,2017.0,18998.0,2,28808.0,0,145.0,61.4,2.1
2,2017.0,20998.0,2,42036.0,0,20.0,67.3,2.1
2,2016.0,22998.0,2,23090.0,0,30.0,65.7,2.1
2,2016.0,16498.0,2,37080.0,0,20.0,64.2,2.1
2,2019.0,27980.0,0,3168.0,0,145.0,55.4,2.0
2,2016.0,18990.0,2,26413.0,0,20.0,64.2,2.1
2,2015.0,12495.0,2,50374.0,0,20.0,65.7,2.1
2,2016.0,17672.0,0,31656.0,0,30.0,64.2,2.1
2,2014.0,15298.0,2,41416.0,0,30.0,64.2,2.1
